Name MC MP
Bitcoin 59042.9 88.2
Ethereum 3238.89 4.8
Tether 0.9993 0.0
BNB 539.44 0.8
Solana 136.7 0.2
USDC 1.0 0.0
XRP 0.4591 0.0
Toncoin 7.63 0.0
Dogecoin 0.1153 0.0
Cardano 0.3964 0.0
TRON 0.13 0.0
Avalanche 26.12 0.0
"Shiba Inu" 0.0 0.0
Polkadot 5.91 0.0
Chainlink 13.23 0.0
"Bitcoin Cash" 362.12 0.5
"NEAR Protocol" 4.93 0.0
Dai 1.0 0.0
"UNUS SED LEO" 5.75 0.0
Litecoin 70.4 0.1
Polygon 0.52 0.0
Uniswap 8.29 0.0
Kaspa 0.17 0.0
Pepe 0.0 0.0
"Internet Computer" 7.08 0.0
"Ethereum Classic" 22.04 0.0
"Artificial Superintelligence Alliance" 1.23 0.0
Monero 163.83 0.2
Aptos 6.4 0.0
Render 7.03 0.0
Stellar 0.09 0.0
Hedera 0.07 0.0
OKB 41.24 0.1
Cosmos 6.3 0.0
Arbitrum 0.74 0.0
Mantle 0.72 0.0
Cronos 0.09 0.0
Filecoin 4.03 0.0
Stacks 1.51 0.0
Immutable 1.44 0.0
Maker 2296.49 3.4
"First Digital USD" 1.0 0.0
VeChain 0.02 0.0
Injective 20.84 0.0
Sui 0.75 0.0
dogwifhat 1.84 0.0
"The Graph" 0.19 0.0
Optimism 1.6 0.0
Arweave 25.41 0.0
Bittensor 235.62 0.4
"Lido DAO" 1.75 0.0
"Bitget Token" 1.11 0.0
Bonk 0.0 0.0
Ondo 1.1 0.0
FLOKI 0.0 0.0
"Brett (Based)" 0.14 0.0
"Theta Network" 1.41 0.0
Fantom 0.49 0.0
THORChain 3.77 0.0
Notcoin 0.01 0.0
Aave 85.15 0.1
JasmyCoin 0.02 0.0
Algorand 0.14 0.0
"Pyth Network" 0.3 0.0
Jupiter 0.76 0.0
Core 1.15 0.0
Celestia 5.17 0.0
Flare 0.02 0.0
Sei 0.3 0.0
"KuCoin Token" 9.51 0.0
Quant 74.2 0.1
Starknet 0.61 0.0
Flow 0.58 0.0
"Ethereum Name Service" 26.12 0.0
EOS 0.55 0.0
MultiversX 30.0 0.0
"Axie Infinity" 5.49 0.0
"Bitcoin SV" 40.77 0.1
"Akash Network" 3.27 0.0
Gala 0.02 0.0
"BitTorrent [New]" 0.0 0.0
Beam 0.02 0.0
Ethena 0.46 0.0
Neo 10.76 0.0
Tezos 0.75 0.0
USDD 1.0 0.0
"dYdX (Native)" 1.22 0.0
ORDI 34.15 0.1
"The Sandbox" 0.31 0.0
Gnosis 268.5 0.4
GateToken 7.42 0.0
MANTRA 0.81 0.0
Nexo 1.14 0.0
Conflux 0.15 0.0
Pendle 4.06 0.0
Ronin 1.88 0.0
zkSync 0.17 0.0
Chiliz 0.07 0.0
Oasis 0.09 0.0
Synthetix 1.83 0.0
